,date,value
6272,10-2017,17
6273,10-2017,22
6274,10-2017,13
6275,10-2017,19
6276,10-2017,25
6277,10-2017,30
6278,10-2017,21
6279,10-2017,21
6280,10-2017,29
6281,11-2017,14
6282,11-2017,18
6283,11-2017,16
6284,11-2017,24
6285,11-2017,22
6286,11-2017,22
6287,11-2017,31
6288,11-2017,17
6289,11-2017,20
6290,11-2017,19
6291,11-2017,19
6292,11-2017,25
6293,11-2017,28
6294,11-2017,18
6295,11-2017,21
6296,11-2017,17
6297,11-2017,16
6298,11-2017,22
6299,11-2017,21
6300,11-2017,19
6301,11-2017,19
6302,11-2017,18
6303,11-2017,16
6304,11-2017,35
6305,11-2017,25
6306,11-2017,34
6307,11-2017,29
6308,11-2017,40
6309,11-2017,16
6310,11-2017,27
6311,12-2017,24
6312,12-2017,33
6313,12-2017,18
6314,12-2017,35
6315,12-2017,22
6316,12-2017,17
6317,12-2017,27
6318,12-2017,24
6319,12-2017,21
6320,12-2017,25
6321,12-2017,20
6322,12-2017,31
6323,12-2017,13
6324,12-2017,13
6325,12-2017,19
6326,12-2017,14
6327,12-2017,19
6328,12-2017,19
6329,12-2017,15
6330,12-2017,24
6331,12-2017,11
6332,12-2017,17
6333,12-2017,12
6334,12-2017,15
6335,12-2017,25
6336,12-2017,10
6337,12-2017,22
6338,12-2017,27
6339,12-2017,12
6340,12-2017,18
6341,12-2017,19
6342,01-2018,23
6343,01-2018,26
6344,01-2018,29
6345,01-2018,15
6346,01-2018,22
6347,01-2018,24
6348,01-2018,15
6349,01-2018,15
6350,01-2018,29
6351,01-2018,29
6352,01-2018,24
6353,01-2018,28
6354,01-2018,21
6355,01-2018,22
6356,01-2018,22
6357,01-2018,31
6358,01-2018,38
6359,01-2018,17
6360,01-2018,27
6361,01-2018,17
6362,01-2018,24
6363,01-2018,19
6364,01-2018,26
6365,01-2018,19
6366,01-2018,17
6367,01-2018,18
6368,01-2018,28
6369,01-2018,22
6370,01-2018,11
6371,01-2018,24
6372,01-2018,17
6373,02-2018,22
6374,02-2018,13
6375,02-2018,18
6376,02-2018,27
6377,02-2018,24
6378,02-2018,21
6379,02-2018,17
6380,02-2018,17
6381,02-2018,22
6382,02-2018,29
6383,02-2018,31
6384,02-2018,25
6385,02-2018,24
6386,02-2018,14
6387,02-2018,19
6388,02-2018,21
6389,02-2018,19
6390,02-2018,20
6391,02-2018,26
6392,02-2018,22
6393,02-2018,23
6394,02-2018,18
6395,02-2018,14
6396,02-2018,25
6397,02-2018,18
6398,02-2018,16
6399,02-2018,25
6400,02-2018,18
6401,03-2018,25
6402,03-2018,22
6403,03-2018,17
6404,03-2018,18
6405,03-2018,24
6406,03-2018,17
6407,03-2018,21
6408,03-2018,18
6409,03-2018,12
6410,03-2018,15
6411,03-2018,19
6412,03-2018,23
6413,03-2018,16
6414,03-2018,33
6415,03-2018,29
6416,03-2018,7
6417,03-2018,24
6418,03-2018,11
6419,03-2018,22
6420,03-2018,22
6421,03-2018,16
6422,03-2018,17
6423,03-2018,15
6424,03-2018,18
6425,03-2018,31
6426,03-2018,26
6427,03-2018,12
6428,03-2018,17
6429,03-2018,19
6430,03-2018,21
6431,03-2018,13
6432,04-2018,20
6433,04-2018,22
6434,04-2018,17
6435,04-2018,25
6436,04-2018,10
6437,04-2018,12
6438,04-2018,19
6439,04-2018,23
6440,04-2018,20
6441,04-2018,25
6442,04-2018,46
6443,04-2018,33
6444,04-2018,22
6445,04-2018,32
6446,04-2018,37
6447,04-2018,21
6448,04-2018,16
6449,04-2018,22
6450,04-2018,18
6451,04-2018,13
6452,04-2018,27
6453,04-2018,30
6454,04-2018,18
6455,04-2018,22
6456,04-2018,33
6457,04-2018,16
6458,04-2018,19
6459,04-2018,23
6460,04-2018,17
6461,04-2018,19
6462,05-2018,26
6463,05-2018,24
6464,05-2018,16
6465,05-2018,36
6466,05-2018,40
6467,05-2018,26
6468,05-2018,17
6469,05-2018,21
6470,05-2018,33
6471,05-2018,26
6472,05-2018,28
6473,05-2018,25
6474,05-2018,41
6475,05-2018,26
6476,05-2018,26
6477,05-2018,23
6478,05-2018,30
6479,05-2018,17
6480,05-2018,15
6481,05-2018,40
6482,05-2018,27
6483,05-2018,23
6484,05-2018,22
6485,05-2018,25
6486,05-2018,18
6487,05-2018,26
6488,05-2018,21
6489,05-2018,24
6490,05-2018,36
6491,05-2018,20
6492,05-2018,12
6493,06-2018,20
6494,06-2018,28
6495,06-2018,32
6496,06-2018,24
6497,06-2018,24
6498,06-2018,26
6499,06-2018,18
6500,06-2018,28
6501,06-2018,16
6502,06-2018,23
6503,06-2018,33
6504,06-2018,23
6505,06-2018,19
6506,06-2018,14
6507,06-2018,14
6508,06-2018,46
6509,06-2018,20
6510,06-2018,25
6511,06-2018,15
6512,06-2018,20
6513,06-2018,17
6514,06-2018,23
6515,06-2018,24
6516,06-2018,22
6517,06-2018,21
6518,06-2018,20
6519,06-2018,17
6520,06-2018,16
6521,06-2018,14
6522,06-2018,14
6523,07-2018,17
6524,07-2018,24
6525,07-2018,17
6526,07-2018,25
6527,07-2018,29
6528,07-2018,22
6529,07-2018,34
6530,07-2018,15
6531,07-2018,33
6532,07-2018,23
6533,07-2018,29
6534,07-2018,26
6535,07-2018,29
6536,07-2018,25
6537,07-2018,15
6538,07-2018,13
6539,07-2018,25
6540,07-2018,24
6541,07-2018,20
6542,07-2018,22
6543,07-2018,27
6544,07-2018,25
6545,07-2018,28
6546,07-2018,21
6547,07-2018,42
6548,07-2018,16
6549,07-2018,13
6550,07-2018,18
6551,07-2018,34
6552,07-2018,22
6553,07-2018,26
6554,08-2018,15
6555,08-2018,18
6556,08-2018,32
6557,08-2018,16
6558,08-2018,22
6559,08-2018,20
6560,08-2018,27
6561,08-2018,31
6562,08-2018,21
6563,08-2018,21
6564,08-2018,21
6565,08-2018,21
6566,08-2018,19
6567,08-2018,33
6568,08-2018,20
6569,08-2018,14
6570,08-2018,18
6571,08-2018,12
6572,08-2018,9
6573,08-2018,14
6574,08-2018,19
6575,08-2018,19
6576,08-2018,18
6577,08-2018,11
6578,08-2018,16
6579,08-2018,18
6580,08-2018,15
6581,08-2018,28
6582,08-2018,22
6583,08-2018,22
6584,08-2018,18
6585,09-2018,18
6586,09-2018,23
6587,09-2018,26
6588,09-2018,21
6589,09-2018,18
6590,09-2018,17
6591,09-2018,18
6592,09-2018,19
6593,09-2018,21
6594,09-2018,29
6595,09-2018,26
6596,09-2018,18
6597,09-2018,16
6598,09-2018,31
6599,09-2018,13
6600,09-2018,20
6601,09-2018,24
6602,09-2018,25
6603,09-2018,19
6604,09-2018,19
6605,09-2018,16
6606,09-2018,12
6607,09-2018,21
6608,09-2018,21
6609,09-2018,25
6610,09-2018,13
6611,09-2018,13
6612,09-2018,12
6613,09-2018,29
6614,09-2018,25
6615,10-2018,20
6616,10-2018,20
6617,10-2018,30
6618,10-2018,16
6619,10-2018,18
6620,10-2018,34
6621,10-2018,24
6622,10-2018,12
6623,10-2018,20
6624,10-2018,29
6625,10-2018,11
6626,10-2018,12
6627,10-2018,25
6628,10-2018,14
6629,10-2018,19
6630,10-2018,20
6631,10-2018,22
6632,10-2018,15
6633,10-2018,19
6634,10-2018,87
6635,10-2018,29
6636,10-2018,20
6637,10-2018,16
6638,10-2018,23
6639,10-2018,26
6640,10-2018,20
6641,10-2018,28
6642,10-2018,14
6643,10-2018,26
6644,10-2018,34
6645,10-2018,21
6646,11-2018,21
6647,11-2018,26
6648,11-2018,15
6649,11-2018,23
6650,11-2018,16
6651,11-2018,13
6652,11-2018,18
6653,11-2018,19
6654,11-2018,19
6655,11-2018,23
6656,11-2018,17
6657,11-2018,31
6658,11-2018,20
6659,11-2018,27
6660,11-2018,19
6661,11-2018,18
6662,11-2018,21
6663,11-2018,16
6664,11-2018,18
6665,11-2018,14
6666,11-2018,11
6667,11-2018,18
6668,11-2018,13
6669,11-2018,17
6670,11-2018,12
6671,11-2018,18
6672,11-2018,20
6673,11-2018,20
6674,11-2018,16
6675,11-2018,13
6676,12-2018,17
6677,12-2018,10
6678,12-2018,15
6679,12-2018,22
6680,12-2018,16
6681,12-2018,16
6682,12-2018,10
6683,12-2018,17
6684,12-2018,19
6685,12-2018,17
6686,12-2018,21
6687,12-2018,17
6688,12-2018,14
6689,12-2018,12
6690,12-2018,25
6691,12-2018,14
6692,12-2018,17
6693,12-2018,10
6694,12-2018,18
6695,12-2018,16
6696,12-2018,8
6697,12-2018,15
6698,12-2018,17
6699,12-2018,23
6700,12-2018,16
6701,12-2018,20
6702,12-2018,27
6703,12-2018,24
6704,12-2018,19
6705,12-2018,16
6706,12-2018,20
6707,01-2019,25
6708,01-2019,10
6709,01-2019,16
6710,01-2019,16
6711,01-2019,18
6712,01-2019,15
6713,01-2019,15
6714,01-2019,16
6715,01-2019,17
6716,01-2019,19
6717,01-2019,19
6718,01-2019,17
6719,01-2019,16
6720,01-2019,13
6721,01-2019,20
6722,01-2019,14
6723,01-2019,12
6724,01-2019,23
6725,01-2019,18
6726,01-2019,24
6727,01-2019,15
6728,01-2019,12
6729,01-2019,15
6730,01-2019,21
6731,01-2019,21
6732,01-2019,23
6733,01-2019,19
6734,01-2019,22
6735,01-2019,26
6736,01-2019,11
6737,01-2019,14
6738,02-2019,17
6739,02-2019,21
6740,02-2019,21
6741,02-2019,37
6742,02-2019,25
6743,02-2019,10
6744,02-2019,19
6745,02-2019,16
6746,02-2019,26
6747,02-2019,16
6748,02-2019,17
6749,02-2019,30
6750,02-2019,19
6751,02-2019,17
6752,02-2019,16
6753,02-2019,27
6754,02-2019,11
6755,02-2019,21
6756,02-2019,24
6757,02-2019,18
6758,02-2019,15
6759,02-2019,43
6760,02-2019,24
6761,02-2019,16
6762,02-2019,13
6763,02-2019,17
6764,02-2019,10
6765,02-2019,23
6766,03-2019,13
6767,03-2019,11
6768,03-2019,10
6769,03-2019,15
6770,03-2019,13
6771,03-2019,20
6772,03-2019,27
6773,03-2019,25
6774,03-2019,31
6775,03-2019,41
6776,03-2019,19
6777,03-2019,25
6778,03-2019,20
6779,03-2019,27
6780,03-2019,19
6781,03-2019,19
6782,03-2019,16
6783,03-2019,22
6784,03-2019,14
6785,03-2019,22
6786,03-2019,17
6787,03-2019,13
6788,03-2019,32
6789,03-2019,18
6790,03-2019,25
6791,03-2019,27
6792,03-2019,21
6793,03-2019,25
6794,03-2019,15
6795,03-2019,24
6796,03-2019,12
6797,04-2019,14
6798,04-2019,12
6799,04-2019,15
6800,04-2019,21
6801,04-2019,19
6802,04-2019,17
6803,04-2019,16
6804,04-2019,21
6805,04-2019,27
6806,04-2019,39
6807,04-2019,33
6808,04-2019,23
6809,04-2019,21
6810,04-2019,21
6811,04-2019,18
6812,04-2019,20
6813,04-2019,29
6814,04-2019,24
6815,04-2019,19
6816,04-2019,18
6817,04-2019,14
6818,04-2019,18
6819,04-2019,19
6820,04-2019,14
6821,04-2019,19
6822,04-2019,17
6823,04-2019,18
6824,04-2019,12
6825,04-2019,16
6826,04-2019,16
6827,05-2019,18
6828,05-2019,20
6829,05-2019,20
6830,05-2019,23
6831,05-2019,42
6832,05-2019,22
6833,05-2019,19
6834,05-2019,26
6835,05-2019,20
6836,05-2019,14
6837,05-2019,24
6838,05-2019,29
6839,05-2019,35
6840,05-2019,26
6841,05-2019,23
6842,05-2019,25
6843,05-2019,17
6844,05-2019,38
6845,05-2019,28
6846,05-2019,23
6847,05-2019,21
6848,05-2019,17
6849,05-2019,17
6850,05-2019,25
6851,05-2019,22
6852,05-2019,28
6853,05-2019,54
6854,05-2019,12
6855,05-2019,13
6856,05-2019,30
6857,05-2019,15
6858,06-2019,25
6859,06-2019,24
6860,06-2019,11
6861,06-2019,28
6862,06-2019,22
6863,06-2019,12
6864,06-2019,21
6865,06-2019,17
6866,06-2019,17
6867,06-2019,22
6868,06-2019,14
6869,06-2019,19
6870,06-2019,16
6871,06-2019,15
6872,06-2019,19
6873,06-2019,13
6874,06-2019,29
6875,06-2019,14
6876,06-2019,13
6877,06-2019,11
6878,06-2019,13
6879,06-2019,22
6880,06-2019,24
6881,06-2019,23
6882,06-2019,46
6883,06-2019,26
6884,06-2019,19
6885,06-2019,26
6886,06-2019,16
6887,06-2019,25
6888,07-2019,19
6889,07-2019,16
6890,07-2019,23
6891,07-2019,15
6892,07-2019,27
6893,07-2019,17
6894,07-2019,26
6895,07-2019,24
6896,07-2019,25
6897,07-2019,17
6898,07-2019,21
6899,07-2019,17
6900,07-2019,17
6901,07-2019,18
6902,07-2019,19
6903,07-2019,15
6904,07-2019,23
6905,07-2019,16
6906,07-2019,16
6907,07-2019,12
6908,07-2019,25
6909,07-2019,23
6910,07-2019,21
6911,07-2019,15
6912,07-2019,22
6913,07-2019,21
6914,07-2019,28
6915,07-2019,23
6916,07-2019,10
6917,07-2019,19
6918,07-2019,43
6919,08-2019,32
6920,08-2019,22
6921,08-2019,16
6922,08-2019,22
6923,08-2019,16
6924,08-2019,18
6925,08-2019,18
6926,08-2019,21
6927,08-2019,4
6928,08-2019,16
6929,08-2019,6
6930,08-2019,8
6931,08-2019,8
6932,08-2019,13
6933,08-2019,18
6934,08-2019,14
6935,08-2019,22
6936,08-2019,20
6937,08-2019,27
6938,08-2019,26
6939,08-2019,12
6940,08-2019,8
6941,08-2019,19
6942,08-2019,13
6943,08-2019,13
6944,08-2019,14
6945,08-2019,13
6946,08-2019,10
6947,08-2019,9
6948,08-2019,18
6949,08-2019,19
6950,09-2019,19
6951,09-2019,14
6952,09-2019,20
6953,09-2019,15
6954,09-2019,21
6955,09-2019,14
6956,09-2019,21
6957,09-2019,22
6958,09-2019,15
6959,09-2019,7
6960,09-2019,16
6961,09-2019,25
6962,09-2019,15
6963,09-2019,17
6964,09-2019,24
6965,09-2019,20
6966,09-2019,15
6967,09-2019,16
6968,09-2019,20
6969,09-2019,12
6970,09-2019,9
6971,09-2019,16
6972,09-2019,23
6973,09-2019,15
6974,09-2019,18
6975,09-2019,14
6976,09-2019,11
6977,09-2019,62
6978,09-2019,11
6979,09-2019,14
6980,10-2019,13
6981,10-2019,10
6982,10-2019,15
6983,10-2019,17
6984,10-2019,30
6985,10-2019,10
6986,10-2019,17
6987,10-2019,10
6988,10-2019,15
6989,10-2019,16
6990,10-2019,28
6991,10-2019,18
6992,10-2019,9
6993,10-2019,19
6994,10-2019,28
6995,10-2019,17
6996,10-2019,9
6997,10-2019,18
6998,10-2019,18
6999,10-2019,14
7000,10-2019,21
7001,10-2019,14
7002,10-2019,15
7003,10-2019,18
7004,10-2019,13
7005,10-2019,15
7006,10-2019,15
7007,10-2019,27
7008,10-2019,15
7009,10-2019,18
7010,10-2019,12
7011,11-2019,9
7012,11-2019,17
7013,11-2019,13
7014,11-2019,18
7015,11-2019,13
7016,11-2019,14
7017,11-2019,13
7018,11-2019,9
7019,11-2019,5
7020,11-2019,10
7021,11-2019,15
7022,11-2019,24
7023,11-2019,12
7024,11-2019,12
7025,11-2019,12
7026,11-2019,18
7027,11-2019,11
7028,11-2019,13
7029,11-2019,16
7030,11-2019,15
7031,11-2019,11
7032,11-2019,13
7033,11-2019,7
7034,11-2019,10
7035,11-2019,10
7036,11-2019,10
7037,11-2019,15
7038,11-2019,11
7039,11-2019,17
7040,11-2019,26
7041,12-2019,11
7042,12-2019,11
7043,12-2019,15
7044,12-2019,20
7045,12-2019,13
7046,12-2019,19
7047,12-2019,24
7048,12-2019,12
7049,12-2019,13
7050,12-2019,25
7051,12-2019,15
7052,12-2019,22
7053,12-2019,14
7054,12-2019,11
7055,12-2019,17
7056,12-2019,13
7057,12-2019,18
7058,12-2019,11
7059,12-2019,17
7060,12-2019,11
7061,12-2019,26
7062,12-2019,17
7063,12-2019,8
7064,12-2019,20
7065,12-2019,21
7066,12-2019,13
7067,12-2019,11
7068,12-2019,16
7069,12-2019,18
7070,12-2019,9
7071,12-2019,29
7072,01-2020,12
7073,01-2020,17
7074,01-2020,17
7075,01-2020,12
7076,01-2020,23
7077,01-2020,14
7078,01-2020,13
7079,01-2020,13
7080,01-2020,18
7081,01-2020,13
7082,01-2020,17
7083,01-2020,10
7084,01-2020,11
7085,01-2020,20
7086,01-2020,21
7087,01-2020,25
7088,01-2020,13
7089,01-2020,10
7090,01-2020,15
7091,01-2020,22
7092,01-2020,20
7093,01-2020,22
7094,01-2020,12
7095,01-2020,12
7096,01-2020,17
7097,01-2020,23
7098,01-2020,29
7099,01-2020,18
7100,01-2020,29
7101,01-2020,28
7102,01-2020,12
7103,02-2020,17
7104,02-2020,24
7105,02-2020,15
7106,02-2020,21
7107,02-2020,17
7108,02-2020,15
7109,02-2020,16
7110,02-2020,14
7111,02-2020,23
7112,02-2020,19
7113,02-2020,14
7114,02-2020,13
7115,02-2020,10
7116,02-2020,21
7117,02-2020,11
7118,02-2020,19
7119,02-2020,23
7120,02-2020,25
7121,02-2020,18
7122,02-2020,17
7123,02-2020,17
7124,02-2020,20
7125,02-2020,17
7126,02-2020,15
7127,02-2020,9
7128,02-2020,13
7129,02-2020,12
7130,02-2020,15
7131,02-2020,11
7132,03-2020,18
7133,03-2020,38
7134,03-2020,17
7135,03-2020,20
7136,03-2020,19
7137,03-2020,21
7138,03-2020,21
7139,03-2020,21
7140,03-2020,17
7141,03-2020,16
7142,03-2020,22
7143,03-2020,15
7144,03-2020,23
7145,03-2020,7
7146,03-2020,13
7147,03-2020,21
7148,03-2020,12
7149,03-2020,16
7150,03-2020,16
7151,03-2020,8
7152,03-2020,8
7153,03-2020,20
7154,03-2020,13
7155,03-2020,10
7156,03-2020,14
7157,03-2020,23
7158,03-2020,11
7159,03-2020,13
7160,03-2020,14
7161,03-2020,15
7162,03-2020,9
7163,04-2020,11
7164,04-2020,15
7165,04-2020,13
7166,04-2020,7
7167,04-2020,24
7168,04-2020,17
7169,04-2020,24
7170,04-2020,16
7171,04-2020,13
7172,04-2020,13
7173,04-2020,18
7174,04-2020,19
7175,04-2020,17
7176,04-2020,15
7177,04-2020,23
7178,04-2020,15
7179,04-2020,16
7180,04-2020,19
7181,04-2020,19
7182,04-2020,16
7183,04-2020,16
7184,04-2020,15
7185,04-2020,11
7186,04-2020,21
7187,04-2020,18
7188,04-2020,14
7189,04-2020,15
7190,04-2020,14
7191,04-2020,33
7192,04-2020,15
7193,05-2020,10
7194,05-2020,21
7195,05-2020,17
7196,05-2020,26
7197,05-2020,17
7198,05-2020,9
7199,05-2020,16
7200,05-2020,10
7201,05-2020,13
7202,05-2020,25
7203,05-2020,26
7204,05-2020,29
7205,05-2020,20
7206,05-2020,12
7207,05-2020,16
7208,05-2020,25
7209,05-2020,20
7210,05-2020,29
7211,05-2020,20
7212,05-2020,34
7213,05-2020,11
7214,05-2020,10
7215,05-2020,12
7216,05-2020,16
7217,05-2020,17
7218,05-2020,11
7219,05-2020,11
7220,05-2020,13
7221,05-2020,20
7222,05-2020,14
7223,05-2020,24
7224,06-2020,24
7225,06-2020,22
7226,06-2020,15
7227,06-2020,11
7228,06-2020,20
7229,06-2020,19
7230,06-2020,7
7231,06-2020,17
7232,06-2020,15
7233,06-2020,18
7234,06-2020,11
7235,06-2020,16
7236,06-2020,24
7237,06-2020,17
7238,06-2020,41
7239,06-2020,9
7240,06-2020,17
7241,06-2020,18
7242,06-2020,16
7243,06-2020,25
7244,06-2020,14
7245,06-2020,19
7246,06-2020,23
7247,06-2020,21
7248,06-2020,8
7249,06-2020,19
7250,06-2020,10
7251,06-2020,18
7252,06-2020,11
7253,06-2020,18
7254,07-2020,25
7255,07-2020,12
7256,07-2020,19
7257,07-2020,18
7258,07-2020,18
7259,07-2020,19
7260,07-2020,9
7261,07-2020,21
7262,07-2020,17
7263,07-2020,14
7264,07-2020,21
7265,07-2020,14
7266,07-2020,20
7267,07-2020,14
7268,07-2020,12
7269,07-2020,12
7270,07-2020,12
7271,07-2020,19
7272,07-2020,17
7273,07-2020,17
7274,07-2020,24
7275,07-2020,17
7276,07-2020,22
7277,07-2020,17
7278,07-2020,17
7279,07-2020,10
7280,07-2020,18
7281,07-2020,18
7282,07-2020,12
7283,07-2020,14
7284,07-2020,10
7285,08-2020,9
7286,08-2020,14
7287,08-2020,11
7288,08-2020,17
7289,08-2020,10
7290,08-2020,18
7291,08-2020,8
7292,08-2020,14
7293,08-2020,24
7294,08-2020,12
7295,08-2020,19
7296,08-2020,20
7297,08-2020,29
7298,08-2020,26
7299,08-2020,19
7300,08-2020,17
7301,08-2020,23
7302,08-2020,23
7303,08-2020,22
7304,08-2020,20
7305,08-2020,25
7306,08-2020,19
7307,08-2020,17
7308,08-2020,18
7309,08-2020,20
7310,08-2020,14
7311,08-2020,19
7312,08-2020,22
7313,08-2020,12
7314,08-2020,11
7315,08-2020,18
7316,09-2020,18
7317,09-2020,17
7318,09-2020,16
7319,09-2020,13
7320,09-2020,17
7321,09-2020,29
7322,09-2020,24
7323,09-2020,31
7324,09-2020,29
7325,09-2020,22
7326,09-2020,27
7327,09-2020,18
7328,09-2020,22
7329,09-2020,19
7330,09-2020,24
7331,09-2020,12
7332,09-2020,30
7333,09-2020,23
7334,09-2020,18
7335,09-2020,25
7336,09-2020,28
7337,09-2020,15
7338,09-2020,15
7339,09-2020,21
7340,09-2020,18
7341,09-2020,14
7342,09-2020,23
7343,09-2020,16
7344,09-2020,8
7345,09-2020,17
7346,10-2020,17
7347,10-2020,7
7348,10-2020,13
7349,10-2020,24
7350,10-2020,21
7351,10-2020,20
7352,10-2020,19
7353,10-2020,19
7354,10-2020,20
7355,10-2020,24
7356,10-2020,13
7357,10-2020,16
7358,10-2020,17
7359,10-2020,20
7360,10-2020,22
7361,10-2020,26
7362,10-2020,18
7363,10-2020,23
7364,10-2020,12
7365,10-2020,22
7366,10-2020,26
7367,10-2020,14
7368,10-2020,13
7369,10-2020,19
7370,10-2020,17
7371,10-2020,11
7372,10-2020,20
7373,10-2020,19
7374,10-2020,10
7375,10-2020,15
7376,10-2020,17
7377,11-2020,18
7378,11-2020,14
7379,11-2020,17
7380,11-2020,14
7381,11-2020,25
7382,11-2020,19
7383,11-2020,16
7384,11-2020,20
7385,11-2020,19
7386,11-2020,17
7387,11-2020,11
7388,11-2020,29
7389,11-2020,10
7390,11-2020,9
7391,11-2020,13
7392,11-2020,17
7393,11-2020,15
7394,11-2020,8
7395,11-2020,14
7396,11-2020,13
7397,11-2020,35
7398,11-2020,12
7399,11-2020,15
7400,11-2020,19
7401,11-2020,18
7402,11-2020,15
7403,11-2020,14
7404,11-2020,22
7405,11-2020,14
7406,11-2020,17
7407,12-2020,18
7408,12-2020,13
7409,12-2020,10
7410,12-2020,12
7411,12-2020,14
7412,12-2020,16
7413,12-2020,18
7414,12-2020,12
7415,12-2020,10
7416,12-2020,14
7417,12-2020,19
7418,12-2020,14
7419,12-2020,21
7420,12-2020,19
7421,12-2020,17
7422,12-2020,14
7423,12-2020,11
7424,12-2020,19
7425,12-2020,12
7426,12-2020,23
7427,12-2020,17
7428,12-2020,18
7429,12-2020,9
7430,12-2020,16
7431,12-2020,15
7432,12-2020,30
7433,12-2020,18
7434,12-2020,18
7435,12-2020,23
7436,12-2020,9
7437,12-2020,15
